organism,family,exact_annotation_found,related_annotation_found,final_category,confidence,top_matching_term,database_source,search_level,top_accession,top_gene_symbol,top_protein_name,level_a_hit_count,level_b_hit_count,example_query
Tigriopus californicus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A553NFW3,inx,Innexin,15,0,"organism_name:""Tigriopus californicus"" AND protein_name:innexin"
Tigriopus californicus,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,131888218,LOC131888218,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Tigriopus californicus""[Organism]"
Tigriopus californicus,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx2-like,ncbi_gene,B,131888218,LOC131888218,innexin inx2-like,0,5,"""gap junction""[All Fields] AND ""Tigriopus californicus""[Organism]"
Daphnia pulex,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,E9H085,inx,Innexin,17,0,"organism_name:""Daphnia pulex"" AND protein_name:innexin"
Daphnia pulex,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,124203188,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia pulex""[Organism]"
Daphnia pulex,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,124203188,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia pulex""[Organism]"
Daphnia magna,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A0P5Z3Z4,inx,Innexin,19,0,"organism_name:""Daphnia magna"" AND protein_name:innexin"
Daphnia magna,connexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,116931864,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia magna""[Organism]"
Daphnia magna,pannexin,no,yes,related_or_family_like_entry_found,medium,Innexin family member shaking B,ncbi_gene,B,116931864,shakB,Innexin family member shaking B,0,5,"""gap junction""[All Fields] AND ""Daphnia magna""[Organism]"
Limulus polyphemus,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0ABM1B2P6,LOC106458602,Innexin,15,0,"organism_name:""Limulus polyphemus"" AND protein_name:innexin"
Limulus polyphemus,connexin,no,yes,related_or_family_like_entry_found,medium,DEAH-box helicase 16 lethal (2) 37Cb,ncbi_gene,B,106469029,l(2)37Cb,DEAH-box helicase 16 lethal (2) 37Cb,0,10,"""gap junction""[All Fields] AND ""Limulus polyphemus""[Organism]"
Limulus polyphemus,pannexin,no,yes,related_or_family_like_entry_found,medium,DEAH-box helicase 16 lethal (2) 37Cb,ncbi_gene,B,106469029,l(2)37Cb,DEAH-box helicase 16 lethal (2) 37Cb,0,10,"""gap junction""[All Fields] AND ""Limulus polyphemus""[Organism]"
Hydra vulgaris,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A0H5FN97,INX10,Innexin,20,0,"organism_name:""Hydra vulgaris"" AND protein_name:innexin"
Hydra vulgaris,connexin,no,yes,related_or_family_like_entry_found,medium,innexin inx1-like,ncbi_gene,B,100197789,LOC100197789,innexin inx1-like,1,5,"""gap junction""[All Fields] AND ""Hydra vulgaris""[Organism]"
Hydra vulgaris,pannexin,no,yes,related_or_family_like_entry_found,medium,innexin inx1-like,ncbi_gene,B,100197789,LOC100197789,innexin inx1-like,0,5,"""gap junction""[All Fields] AND ""Hydra vulgaris""[Organism]"
Amphimedon queenslandica,innexin,yes,no,annotated_family_member_found,high,innexin,uniprot,A,A0A1X7TBT4,109588697,Innexin,2,0,"organism_name:""Amphimedon queenslandica"" AND protein_name:innexin"
Amphimedon queenslandica,connexin,no,yes,related_or_family_like_entry_found,medium,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",ncbi_gene,B,100641378,LOC100641378,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",0,10,"""gap junction""[All Fields] AND ""Amphimedon queenslandica""[Organism]"
Amphimedon queenslandica,pannexin,no,yes,related_or_family_like_entry_found,medium,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",ncbi_gene,B,100641378,LOC100641378,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-4-like",0,10,"""gap junction""[All Fields] AND ""Amphimedon queenslandica""[Organism]"
